band,album,year,song_title,song_lyrics,lyrics_views
Radiohead,A Moon Shaped Pool,2016,Burn the Witch,"Stay in the shadows Cheer at the gallows This is a round-up This is a low-flying panic attack Sing the song on the jukebox that goes Burn the witch Burn the witch We know where you live Red crosses on wooden doors If you float, you burn Loose talk around tables Abandon all reason Avoid all eye contact Do not react Shoot the messengers This is a low-flying panic attack Sing the song of sixpence that goes Burn the witch Burn the witch We know where you live We know where you live",300600
Radiohead,A Moon Shaped Pool,2016,Daydreaming,Dreamers They never learn They never learn Beyond the point Of no return Of no return Then it's too late The damage is done The damage is done This goes Beyond me Beyond you A white room By a window Where the sun comes Through We are Just happy to serve Just happy to serve You efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH efil ym fo flaH,399700
Radiohead,A Moon Shaped Pool,2016,Decks Dark,"Then into your life, there comes a darkness There's a spacecraft blocking out the sky And there's nowhere to hide You run to the back and you cover your ears But it's the loudest sound you've ever heard And all we trapped rag doll cloth people We are helpless to resist Into our darkest hour But it was just a laugh, just a laugh Just a laugh, just a laugh Even at this angle And so we crumble A ten ton head, made of wet sand Oh, this dread circumference You've gotta be kidding me The grass grows over me Your face in the glass, in the glass It was just a laugh, just a laugh It's whatever you say it is In split infinity Then into your life, there comes a darkness And a spacecraft blocking out the sky And there's nowhere to hide You run to the back and you cover your ears But it's the loudest sound you've ever heard Into your darkest hour When you've had enough of me When you've had enough of me Sweet darling When you've had enough of me When you've had enough of me Sweet darling Sweet times Sweet darling Sweet times",267900
Radiohead,A Moon Shaped Pool,2016,Desert Island Disk,"Now as I go upon my way So let me go upon my way Born of a light, born of a light The wind rushing 'round my open heart An open ravine with my spirit wide Totally alive and my spirit light Through an open doorway Across a street to another life And catching my reflection in a window Switching on a light, one I didn’t know Totally alive, totally released Waking, waking up from shutdown From a thousand years of sleep Yeah, you, you know what I mean You know what I mean You know what I mean Standing on the edge of You, you know what I mean You know what I mean You know what I mean Different types of love Different types of love Different types of love Are possible Are possible Are possible Are possible",150000
Radiohead,A Moon Shaped Pool,2016,Ful Stop,"You really messed up everything You really messed up everything If you could take it all back again Strike up the tinderbox Why should I be good if you're not? This is a foul tasting medicine A foul tasting medicine To be trapped in your full stop Truth will mess you up, truth will mess you up Truth will mess you up, truth will mess you up Truth will mess you up, truth will mess you up Truth will mess you up, truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) Truth will mess you up Truth will mess you up (All the good times) When you take me back Take me back again Will you take me back Take me back again You really messed up You really messed up You really messed up You really messed up this time You really messed up You really messed up You really messed up You really messed up this time You really messed up You really messed up You really messed up You really messed up this time",189700
Radiohead,A Moon Shaped Pool,2016,Glass Eyes,"Hey, it's me, I just got off the train A frightening place, the faces are concrete grey And I'm wondering, should I turn around? Buy another ticket? The panic is coming on strong So cold, from the inside out No great drama, message coming in In the oh-so-smug glassy eyed light of day Glassy eyed light of day Where the path trails off and heads down the mountain Through the dry bush, I don't know where it leads And I don't really care Where the path trails off and heads down the mountain Through the dry bush, I don't know where it leads And I don't really care I feel this love to the core I feel this love turn cold",150100
Radiohead,A Moon Shaped Pool,2016,Identikit,"A moon shaped pool Dancing clothes won't let me in And now I know it's never gonna be, oh, me A moon shaped pool Dancing clothes won't let me in And now I know it's never gonna be, oh, me A moon shaped pool Dancing clothes won't let me in And now I know it's never gonna be, oh, me The sweet-faced ones with nothing left inside That we all can love, that we all can love, that we all Sweet-faced ones with nothing left inside That we all can love, that we all can love, that we all But now I see you messing me around I don’t want to know, I don’t want to know, I don’t want When I see you messing me around I don’t want to know, I don’t want to know, I don’t want to know Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain Broken hearts make it rain The pieces of a ragdoll mankind That we can create, that we can create, that we can Pieces of a ragdoll mankind That we can create, that we can create But when I see you messing me around I don’t want to know, I don’t want to know, I don’t want When I see you messing me around I don’t want to know, I don’t want to know, I don’t want to know",240400
Radiohead,A Moon Shaped Pool,2016,The Numbers,It holds us like a phantom It touches like a breeze It shines its understanding See the moon is smiling Open on all channels Ready to receive Cause we're not at the mercy Of your chimeras and spells Your chimeras and spells Mmmhm We are of the earth To her we do return The future is inside us It's not somewhere else It's not somewhere else It's not somewhere else (One day at a time) One day at a time We call upon the people The people have this power The numbers don't decide The system is a lie A river running dry The wings of butterflies And you may pour us away like soup Like we're pretty broken flowers We'll take back what is ours Take back what is ours One day at a time,166500
Radiohead,A Moon Shaped Pool,2016,Present Tense,"This dance, this dance Is like a weapon, is like a weapon Of self-defence, of self-defence Against the present, against the present The present tense No, I won't get heavy, don't get heavy Keep it light and keep it moving I am doing no harm As my world comes crashing down I'll be dancing, freaking out Deaf, dumb, and blind In you, I'm lost In you, I'm lost I won't turn around or the penny drops Won't stop now, won't slack off Or all this love will be in vain To stop from falling down a mine It's no one's business but mine Where all this love has been in vain In you, I'm lost In you, I'm lost In you, I'm lost In you, I'm lost",249000
Radiohead,A Moon Shaped Pool,2016,Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,"All the holes at once Are coming alive, set free Out of sight and out of mind The lonely and their prey The ones you light your fires to keep away Is crawling out upon its belly And all you have to do is say yes All the birds stay up In the trees All the fish swim down to the deep The lonely and their prey I am here Come to me Before it's too late The one you light your fires to keep away Is crawling out upon its belly And all you have to do is say yes",106800
Radiohead,A Moon Shaped Pool,2016,True Love Waits,I'll drown my beliefs To have your babies I'll dress like your niece And wash your swollen feet Just don't leave Don't leave I'm not living I'm just killing time Your tiny hands Your crazy kitten smile Just don't leave Don't leave And true love waits In haunted attics And true love lives On lollipops and crisps Just don't leave Don't leave,369100
Radiohead,Pablo Honey,1993,You,"You are the sun and moon and stars are you And I could never run away from you You try at working out chaotic things And why should I believe myself, not you? It's like the world is gonna end so soon And why should I believe myself? My– You, me and everything Caught in the fire I can see me drowning Caught in the fire You, me and everything Caught in the fire I can see me drowning Caught in the fire",57400
Radiohead,Pablo Honey,1993,Creep,"When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fuckin' special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fuckin' special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here",1900000
Radiohead,Pablo Honey,1993,How do you?,He's bitter and twisted He knows what he wants He wants to be loved and He wants to belong He wants us to listen He wants us to weep And he was a stupid baby who turned into a powerful freak But how do you? How do you? How do you? He lives with his mother But we show him respect He's a dangerous bigot But we always forget And he's just like his daddy 'Cause he cheats on his friends And he steals and he bullies anyway that he can But how do you? How do you? How do you?,19800
Radiohead,Pablo Honey,1993,Stop Whispering,"And the wise man said I don't want to hear your voice And the thin man said I don't want to hear your voice And they're cursing me, and they won't let me be And there's nothing to say, and there's nothing to do Stop whispering, start shouting Stop whispering, start shouting And the mother say we spit on your son some more And the buildings say we spit on your face some more And the feeling is that there's something wrong 'Cause I can't find the words and I can't find the songs Stop whispering, start shouting Stop whispering, start shouting Dear Sir, I have a complaint Dear Sir, I have a complaint Can't remember what it is It doesn't matter anyway It doesn't matter anyway Stop whispering, stop whispering Stop whispering, stop whispering Stop, stop",22400
Radiohead,Pablo Honey,1993,Thinking About You,"Been thinking about you Your records are here Your eyes are on my wall Your teeth are over there But I'm still no one And you're my star What do you care? Been thinking about you And there's no rest Should I still love you Still see you in bed But I'm playing with myself And what do you care when the other men are far, far better? All the things you've got All the things you need Who bought you cigarettes Who bribed the company to come and see you, honey? I've been thinking about you So how can you sleep? These people aren't your friends They're paid to kiss your feet They don't know what I know And why should you care, when I'm not there? Been thinking about you And there's no rest Should I still love you Still see you in bed But I'm playing with myself And what do you care, when I'm not there? All the things you've got That you'll never need All the things you've got I've bled and I bleed to please you Been thinking about you",51100
Radiohead,Pablo Honey,1993,Anyone Can Play Guitar,"Destiny, destiny, protect me from the world Destiny, hold my hand, protect me from the world Here we are, with our running and confusion And I don't see no confusion anywhere And if the world does turn, and if London burns I'll be standing on the beach with my guitar I wanna be in a band when I get to heaven Anyone can play guitar and they won't be a nothing anymore Grow my hair Grow my hair, I am Jim Morrison Grow my hair I wanna be, wanna be, wanna be Jim Morrison Here we are, with our running and confusion And I don't see no confusion anywhere And if the world does turn, and if London burns I'll be standing on the beach with my guitar I wanna be in a band when I get to heaven Anyone can play guitar and they won't be a nothing anymore",36700
Radiohead,Pablo Honey,1993,Ripcord,"Soul destroyed with clever toys for little boys It's inevitable, inevitable, it's a soul destroyed You're free until you drop You're free until you've had enough But you don't understand You've no ripcord, no ripcord No ripcord, no ripcord Aeroplane, do I mean what I mean? It's inevitable, inevitable, oh aeroplane A thousand miles an hour And politics in power That you don't understand You've no ripcord, no ripcord No ripcord, no ripcord The answer to your prayers We'll drop you anywhere With no ripcord, no ripcord No ripcord, no ripcord",14800
Radiohead,Pablo Honey,1993,Vegetable,"I never wanted anything but this I worked hard, tried hard I ran around in domestic bliss I fought hard, died long Every time you're running out of here Every time you're running I get the fear I never wanted any broken bones Scarred face, no home Your words surround me and asphyxiate And I burn all hate Every time you're running out on me Every time you're running I can see I'm not a vegetable I will not control myself I spit on the hand that feeds me I will not control myself The waters spray, the waters run all over me The waters spray, the waters run And this time you're gonna pay I'm not a vegetable I will not control myself I spit on the hand that feeds me I will not control myself",14400
Radiohead,Pablo Honey,1993,Prove Yourself,"I can't afford to breathe in this time Nowhere to sit without a gun in my hand Hooked back up to the cathode ray I'm better off dead, I'm better off dead I'm better off... Prove yourself Prove yourself Prove yourself I wanna breathe, I wanna grow I'd say I want it but I don't know how I work, I bleed, I beg and pray But I'm better off dead, I'm better off dead I'm better off... Prove yourself Prove yourself Prove yourself I'm better off dead, I'm better off dead I'm better off... Prove yourself Prove yourself Prove yourself Prove yourself Why? Prove yourself Prove yourself Prove yourself",18600
Radiohead,Pablo Honey,1993,I Can't,"Please forget the words that I just blurted out It wasn't me, it was my strange and creeping doubt It keeps rattling my cage And there's nothing in this world will keep it down Even though I might, even though I try, I can't Even though I might, even though I try, I can't So many things that keep, that keep me underground So many words that I, that I can never find If you give up on me now I'll be gutted like I've never been before Even though I might, even though I try, I can't Even though I might, even though I try, I can't If you give up on me now I'll be gutted like I've never been before Even though I might, even though I try, I can't Even though I might, even though I try, I can't Even though I might, even though I try, I can't Even though I might, even though I try, I can't",17100
Radiohead,Pablo Honey,1993,Lurgee,"I feel better I feel better now you've gone I got better I got better, I got strong I feel better I feel better now there's nothing wrong I got better I got better, I got strong Tell me something Tell me something I don't know Tell me one thing Tell me one thing and let it go I got something I got something, heaven knows I got something I got something I don't know",14700
Radiohead,Pablo Honey,1993,Blow Out,In my mind And nailed into my heels All the time Killing what I feel And everything I touch (All wrapped up in cotton wool) (All wrapped up in sugar-coated pills) Turns to stone And everything I touch (All wrapped up in cotton wool) (All wrapped up in sugar-coated pills) Turns to stone I am fused Just in case I blow out I am glued Just in case I crack out And everything I touch Turns to stone Everything I touch (All wrapped up in cotton wool) (All wrapped up and sugar-coated) Turns to stone,25900
Coldplay,A Head Full of Dreams,2015,A Head Full of Dreams,"Oh, I think I landed In a world I hadn't seen When I'm feeling ordinary When I don't know what I mean Oh, I think I landed Where there are miracles at work For the thirst and for the hunger Come the conference of birds Saying it's true, it's not what it seems Leave your broken windows open And in the light just streams And you get a head, a head full of dreams You can see the change you wanted Be what you want to be And you get a head, a head full of dreams Into life, I’ve just been spoken With a head full, a head full of dreams Oh, I think I landed Where there are miracles at work When you got me open-handed When you got me lost for words I sing oh-oh-oh A head full of dreams A head full of dreams Into life I’ve just been woken With a head full, a head full of dreams",72300
Coldplay,A Head Full of Dreams,2015,Birds,"Been standing in the corner, studying the lights The dreaming of escape will keep you up at night But someone had put the flares up and got me in the rays So I guess I’d better stay ‘Uh uh no come on’ you say It's a fools gold thunder It's just a warring rain Don't let the fears just start 'What if I won’t see you again’ Around here you never want to sleep all night So start falling in love, start the riot and Come on rage with me We don’t need words And we’ll be birds Got to make our own key Only got this moment You and me Guilty of nothing, but geography Come on and raise it Come on and raise this noise for the million people Who got not one voice Come on it’s not over if you mean it, say loud Come on all for love, out from the underground Away with me We don’t need words Close your eyes and see And we'll be birds, flying free Holding on in the mystery Fearless, fearless, fearless Oh oh oh oh oh oh oh oh oh Fearless together You said ‘we’ll go through this together’ When you fly won’t you Won’t you take me too? In this world so cruel I think you’re so cool",56000
